ID,Visual,VisualScale,Duration,Trajectory,StartSoundKitID,FinishSoundKitID,StartBehavior,FinishBehavior,FinishEffectID,YawRadians,PitchRadians,RollRadians,OffsetX,OffsetY,OffsetZ,AnimationSpeed,Animation,AnimationStartOffset,Alpha,StartAlphaFade,StartAlphaFadeDuration,EndAlphaFade,EndAlphaFadeDuration,LoopingSoundKitID,ParticleOverrideScale,Flags
128,3756363,100,1000,0,183161,0,0,0,0,0,0,0,0,0,0,0.8,0,0,100,0,0,0,0,0,0,0
130,2564475,60,0,0,0,0,0,0,0,180,0,90,-1,0.75,0,0.5,0,0,100,0,0,0,0,0,100,0
133,3756365,500,1000,0,183170,0,0,0,0,0,0,0,0.15,0,0,0.5,0,0,100,0,0,0,0,0,100,0
134,2564475,60,0,0,183171,0,0,0,0,180,0,90,-1,0.75,0,0.5,0,0,100,0,0,0,0,0,100,0
141,3756363,100,1000,0,201528,0,0,0,0,0,0,0,0,0,0,0.8,0,0,100,0,0,0,0,0,0,0
150,4500501,100,1000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100,0,0,0,0,0,0,0
163,4623973,90,1000,0,0,0,0,0,0,0,0,0,-0.1,0.1,0,0.5,0,0,100,0,0,0,0,0,100,0
166,4499234,90,0,0,0,0,0,0,0,90,90,0,0,0,0,1,0,0,70,0,0,0,0,0,0,0
173,165434,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100,0,0,0,0,0,100,0
174,165434,50,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,100,0,0,0,0,0,100,0
176,448564,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,40,0,0,0,0,0,0,0
181,1733437,100,0,0,0,0,0,0,0,-180,0,-45,0.025,-0.025,0,2,0,0,100,0,0,0,0,0,100,0
183,6024398,55,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100,0,0,0,0,0,100,0
184,6024398,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100,0,0,0,0,0,100,0
187,2109030,175,0,0,0,0,0,0,0,0,0,0,-0.25,-0.1,0,0,0,0,100,0,0,0,0,0,0,0
