CommittedName,ID,UiTextureAtlasID,Width,Height,CommittedLeft,CommittedRight,CommittedTop,CommittedBottom,UiTextureAtlasElementID,OverrideWidth,OverrideHeight,CommittedFlags,UiCanvasID
MainPet-PetFamilyFrame,2009,88,34,34,881,915,987,1021,7931,0,0,0,0
Timer-Frame,2010,88,339,17,521,860,671,688,7932,0,0,0,0
MainPet-HealthBarBG,2011,88,155,47,743,898,767,814,7933,0,0,0,0
Timer-BG,2012,88,473,27,521,994,644,671,7934,0,0,0,0
BackupPet-DeadFrame,2014,88,47,47,943,990,853,900,7935,0,0,0,0
MainPet-HealthBarFrame,2015,88,155,47,217,372,880,927,7936,0,0,0,0
Start-VersusSplash,2016,88,217,212,0,217,644,856,7937,0,0,0,0
BackupPet-Frame,2017,88,47,47,950,997,970,1017,7938,0,0,0,0
BattleHUD-Top,2019,88,574,118,0,574,395,513,7939,0,0,0,0
BattleBar-ButtonBG-EndCap,2021,88,24,78,27,51,856,934,7940,0,0,0,0
BattleBar-SwapPetFrame-DeadIcon,2022,88,33,33,915,948,987,1020,7941,0,0,0,0
MainPet-HealthBarFill,2023,88,145,37,406,551,913,950,7942,0,0,0,0
BattleBar-EndCap,2024,88,127,125,551,678,853,978,7943,0,0,0,0
BattleBar-Button-Highlight,2026,88,93,93,788,881,918,1011,7944,0,0,0,0
BattleBar-SwapPetFrame,2029,88,192,86,551,743,767,853,7945,0,0,0,0
Timer-Fill,2030,88,339,17,521,860,688,705,7946,0,0,0,0
BattleBar-SwapPetIcon,2031,88,44,42,724,768,962,1004,7947,0,0,0,0
MainPet-Frame,2034,88,110,109,678,788,853,962,7948,0,0,0,0
BattleBar-Countdown-Shadow,2035,88,53,52,950,1003,918,970,7949,0,0,0,0
BattleBar-ButtonBG-Divider,2036,88,27,81,0,27,856,937,7950,0,0,0,0
BattleBar-SwapPetShadow,2037,88,145,146,406,551,767,913,7951,0,0,0,0
BattleBar-SwapPetFrame-Highlight,2038,88,169,42,217,386,927,969,7952,0,0,0,0
MainPet-PetFamilyActivate,2040,88,46,46,678,724,962,1008,7953,0,0,0,0
MainPet-LevelBubble,2041,88,24,24,997,1021,970,994,7954,0,0,0,0
BattleHUD-Versus,2042,88,155,65,788,943,853,918,7955,0,0,0,0
_BattleBar-ButtonBGMid,2043,88,256,78,0,256,124,202,7961,0,0,4,0
_BattleBar-Mid,2044,88,256,124,0,256,0,124,7962,0,0,4,0
BackArrow-Brown,2102,103,9,17,486,495,877,894,7963,0,0,0,0
MapCornerShadow-Left,2105,103,182,30,290,472,845,875,7966,0,0,0,0
MapCornerShadow-Right,2106,103,46,53,290,336,899,952,7967,0,0,0,0
NoQuestsBackground,2107,103,287,464,1,288,1,465,7968,0,0,0,0
OptionsIcon-Brown,2108,103,16,16,468,484,877,893,7969,0,0,0,0
QuestCollapse-Hide-Down,2109,103,32,32,290,322,954,986,7970,0,0,0,0
QuestCollapse-Hide-Up,2110,103,32,32,390,422,899,931,7971,0,0,0,0
QuestCollapse-Show-Down,2111,103,32,32,338,370,978,1010,7972,0,0,0,0
QuestCollapse-Show-Up,2112,103,32,32,338,370,944,976,7973,0,0,0,0
QuestDetails-RewardsBottomOverlay,2113,103,287,46,290,577,797,843,7974,0,0,0,0
QuestDetails-RewardsOverlay,2114,103,287,275,290,577,467,742,7975,0,0,0,0
QuestDetails-TopOverlay,2115,103,287,51,290,577,744,795,7976,0,0,0,0
QuestDetailsBackgrounds,2116,103,287,464,1,288,467,931,7977,0,0,0,0
QuestionMarkContinent-Icon,2117,103,20,27,265,285,962,989,7978,0,0,0,0
QuestionMarkContinent-IconHighlight,2118,103,20,27,265,285,933,960,7979,0,0,0,0
QuestLogBackground,2119,103,287,464,290,577,1,465,7980,0,0,0,0
StoryHeader-BG,2120,103,262,77,1,263,933,1010,7981,0,0,0,0
StoryHeader-CheevoIcon,2121,103,50,43,338,388,899,942,7982,0,0,0,0
StoryHeader-Shadow,2122,103,252,9,1,253,1012,1021,7983,0,0,0,0
TaskPOI-Icon,2123,103,19,19,447,466,877,896,7984,0,0,0,0
TaskPOI-IconHighlight,2124,103,19,19,426,445,877,896,7985,0,0,0,0
TaskPOI-IconSelect,2125,103,19,19,265,284,991,1010,7986,0,0,0,0
UI-OuterBorderButtonPatch,2126,103,18,22,390,408,967,989,7987,0,0,0,0
UI-SquareButtonBrown-Down,2127,103,32,32,390,422,933,965,7988,0,0,0,0
UI-SquareButtonBrown-Up,2128,103,32,32,290,322,988,1020,7989,0,0,0,0
QuestItemBorder-Small,2130,103,134,20,290,424,877,897,7990,0,0,0,0
QuestItemBorder,2131,103,102,30,474,576,845,875,7991,0,0,0,0
Talent-Separator,2158,110,68,50,1,69,375,425,8076,0,0,0,0
Talent-BottomLeftCurlies,2159,110,65,55,124,189,104,159,8077,0,0,0,0
Talent-Highlight,2160,110,200,53,1,201,226,279,8078,0,0,0,0
Talent-TopRightCurlies,2161,110,64,55,191,255,104,159,8079,0,0,0,0
Talent-TopLeftCurlies,2162,110,63,55,191,254,161,216,8080,0,0,0,0
Talent-Background,2164,110,32,43,0,32,1,44,8082,0,0,4,0
Talent-Selection,2165,110,190,45,1,191,281,326,8083,0,0,0,0
Talent-RingWithDot,2166,110,121,120,1,122,104,224,8084,0,0,0,0
Talent-BottomRightCurlies,2167,110,65,55,124,189,161,216,8085,0,0,0,0
PetJournal-BattleSlot-Active,2168,111,404,106,1,405,174,280,7964,0,0,0,0
PetJournal-BattleSlot-Locked,2169,111,404,106,1,405,282,388,7965,0,0,0,0
PetJournal-PetCard-BG,2170,111,408,171,1,409,1,172,7992,0,0,0,0
PetJournal-BattleSlotFrame-Corner,2172,112,17,17,238,255,98,115,7993,0,0,0,0
PetJournal-ExpBar-Left,2173,112,11,11,238,249,130,141,7994,0,0,0,0
PetJournal-BattleSlotTitle-Right,2175,112,40,40,1,41,330,370,7995,0,0,0,0
PetJournal-ExpBar-Background,2176,112,11,11,238,249,117,128,7996,0,0,0,0
PetJournal-PetBattleAchievementGlow,2177,112,235,49,1,236,98,147,7997,0,0,0,0
PetJournal-HealthBar-Left,2179,112,11,7,167,178,214,221,7998,0,0,0,0
PetJournal-PetCard-Abilities,2180,112,57,105,1,58,223,328,7999,0,0,0,0
PetJournal-BattleSlot-AbilityBorder,2182,112,33,33,1,34,372,405,8000,0,0,0,0
PetJournal-ExpBar-Divider,2183,112,7,7,238,245,149,156,8001,0,0,0,0
PetJournal-ExpBar-Right,2184,112,11,11,154,165,205,216,8002,0,0,0,0
PetJournal-BattleSlot-IconBorder,2185,112,53,54,141,194,149,203,8003,0,0,0,0
PetJournal-LevelBubble,2187,112,21,21,36,57,372,393,8005,0,0,0,0
PetJournal-ExpBar-Mid,2188,112,11,11,141,152,205,216,8006,0,0,0,0
PetJournal-PetBattleAchievementBG,2189,112,50,22,196,246,191,213,8007,0,0,0,0
PetJournal-BattleSlot-Shadow,2191,112,138,72,1,139,149,221,8009,0,0,0,0
PetJournal-BattleSlotTitle-Left,2192,112,40,40,196,236,149,189,8010,0,0,0,0
PetJournal-HealthBar-Mid,2193,112,11,7,180,191,205,212,8011,0,0,0,0
PetJournal-HealthBar-Right,2194,112,11,7,180,191,214,221,8012,0,0,0,0
PetJournal-HealthBar-Background,2195,112,11,7,167,178,205,212,8013,0,0,0,0
_BattleSlotTitle-BG,2198,112,64,24,0,64,43,67,8016,0,0,4,0
_BattleSlotFrame-Top,2199,112,64,16,0,64,69,85,8017,0,0,4,0
_BattleSlotFrame-Divider,2200,112,64,9,0,64,87,96,8018,0,0,4,0
_BattleSlotTitle-Mid,2201,112,64,40,0,64,1,41,8019,0,0,4,0
MountJournalIcons-Alliance,2233,114,46,44,1,47,1,45,7956,0,0,0,0
MountJournalIcons-Horde,2234,114,46,44,49,95,1,45,7957,0,0,0,0
_Talent-blue-glow,2240,110,16,16,0,16,46,62,8042,0,0,4,0
_Talent-Bottom-Tile,2241,110,64,5,0,64,97,102,8043,0,0,4,0
_Talent-Top-Tile,2242,110,64,13,0,64,82,95,8044,0,0,4,0
bluemenu-Ring,2245,116,102,103,1,103,1,104,8081,0,0,0,0
PetJournal-FavoritesIcon,2249,118,25,25,1,26,1,26,8086,0,0,0,0
NewCharacter-Alliance,2257,120,112,58,1,113,1,59,8045,0,0,0,0
NewCharacter-Horde,2258,120,112,58,1,113,61,119,8046,0,0,0,0
Garr_InfoBox-Corner,2266,121,128,128,1,129,277,405,8023,0,0,0,0
Garr_InfoBoxBorder-BigBottomCorner,2267,121,44,46,187,231,277,323,8024,0,0,0,0
Garr_InfoBoxBorder-Corner,2268,121,30,30,90,120,407,437,8025,0,0,0,0
Garr_InfoBoxBorder-FiligreeCorner,2269,121,87,101,1,88,407,508,8026,0,0,0,0
Garr_WoodFrameCorner,2304,121,54,54,131,185,277,331,8055,0,0,0,0
_Garr_InfoBox-Top,2307,121,256,135,0,256,1,136,8057,0,0,4,0
_Garr_InfoBoxBorder-BigBottom,2308,121,256,34,0,256,138,172,8058,0,0,4,0
_Garr_InfoBoxBorder-Top,2309,121,256,18,0,256,257,275,8059,0,0,4,0
_Garr_WoodFrameTile-Bottom,2310,121,256,28,0,256,174,202,8060,0,0,4,0
_Garr_WoodFrameTile-Top,2311,121,256,28,0,256,204,232,8061,0,0,4,0
_Garr_XPBar_Mid,2312,121,32,21,0,32,234,255,8062,0,0,4,0
!Garr_InfoBox-Left,2316,122,135,256,1,136,0,256,8004,0,0,2,0
!Garr_InfoBoxBorder-Left,2317,122,18,256,168,186,0,256,8008,0,0,2,0
!Garr_WoodFrameTile-Left,2318,122,28,256,138,166,0,256,8014,0,0,2,0
Garr_BuildingIconRing_,2319,123,36,37,93,129,349,386,8015,0,0,0,0
Garr_BuildingPlacementExplosion,2320,123,97,63,1,98,443,506,8020,0,0,0,0
Garr_CostBar,2321,123,175,44,341,516,126,170,8021,0,0,0,0
Garr_FollowerPortrait_Bg,2322,123,58,58,351,409,453,511,8022,0,0,0,0
Garr_FollowerPortrait_Ring,2323,123,58,58,476,534,232,290,8027,0,0,0,0
Garr_FollowerPortrait_TimerBG,2324,123,45,45,961,1006,1,46,8028,0,0,0,0
Garr_FollowerPortrait_TimerFill,2325,123,45,45,961,1006,48,93,8029,0,0,0,0
Garr_LevelBadge_1,2326,123,58,49,531,589,173,222,8030,0,0,0,0
Garr_LevelBadge_2,2327,123,58,49,591,649,173,222,8031,0,0,0,0
Garr_LevelBadge_3,2328,123,58,49,651,709,173,222,8032,0,0,0,0
Garr_LevelUpgradeArrow,2329,123,33,39,93,126,388,427,8033,0,0,0,0
Garr_LevelUpgradeLocked,2330,123,33,39,814,847,126,165,8034,0,0,0,0
Garr_ListButton-Highlight,2331,123,208,45,751,959,48,93,8035,0,0,0,0
Garr_ListButton-Selection,2332,123,208,45,131,339,126,171,8036,0,0,0,0
Garr_ListButton,2333,123,208,45,751,959,1,46,8037,0,0,0,0
Garr_ListTab-Highlight,2334,123,77,36,608,685,126,162,8038,0,0,0,0
Garr_ListTab-Select,2335,123,91,50,384,475,173,223,8039,0,0,0,0
Garr_ListTab,2336,123,91,50,291,382,173,223,8040,0,0,0,0
Garr_MaterialIcon,2337,123,12,11,606,618,63,74,8041,0,0,0,0
Garr_MonumentLocked,2338,123,58,58,476,534,292,350,8065,0,0,0,0
Garr_MonumentOpen,2339,123,58,58,476,534,352,410,8066,0,0,0,0
Garr_PlanIcon-List,2340,123,38,38,566,604,63,101,8067,0,0,0,0
Garr_PlansRequiredIcon,2341,123,90,92,1,91,349,441,8068,0,0,0,0
Garr_Plot_Glow_3,2342,123,108,70,131,239,376,446,8069,0,0,0,0
