ID,Value_lang,ReqID,ParentWidgetID
4401,Towers Controlled: %2327w,2,1879
4402,Alliance Towers Controlled,3,1879
4403,,4,1879
4404,Towers Controlled: %2328w,2,1880
4405,Horde Towers Controlled,3,1880
4406,,4,1880
4431,%1581w/%1601w,2,1891
4432,Alliance flag captures,3,1891
4433,Alliance flag captures,4,1891
4434,%1582w/%1601w,2,1892
4435,Horde flag captures,3,1892
4436,Horde flag captures,4,1892
4437,Bases: %1779w  Resources: %1776w/%1780w,2,1893
4438,Alliance status,3,1893
4439,,4,1893
4440,Bases: %1778w  Resources: %1777w/%1780w,2,1894
4441,Horde status,3,1894
4442,Horde status,4,1894
4443,%2313w/%2317w,2,1895
4444,Alliance Silithyst Collected,3,1895
4445,,4,1895
4446,%2314w/%2317w,2,1896
4447,Horde Silithyst Collected,3,1896
4448,,4,1896
9402,Time until Ragnaros withdraws: %21428w min.,2,3524
9403,,3,3524
9404,,4,3524
9409,Ragnaros has withdrawn,2,3527
9410,,3,3527
9411,,4,3527
