Name,ID,ValueType,Field_8_1_5_28938_002,Default,VisType
IconAndText: State Value,1,0,902,1,0
IconAndText: Text,2,1,0,0,0
IconAndText: Tooltip,3,1,0,0,0
IconAndText: Dynamic Tooltip,4,1,0,0,0
CaptureBar: Shown State Value,5,0,903,1,1
CaptureBar: Bar Value,6,0,0,0,1
CaptureBar: Neutral Zone Size,7,0,0,0,1
DoubleStatusBar: Left Bar Min,8,0,0,0,3
DoubleStatusBar: Left Bar Max,9,0,0,100,3
DoubleStatusBar: Left Bar Value,10,0,0,0,3
DoubleStatusBar: Right Bar Min,11,0,0,0,3
DoubleStatusBar: Right Bar Max,12,0,0,100,3
DoubleStatusBar: Right Bar Value,13,0,0,0,3
DoubleStatusBar: Text,14,1,0,0,3
IconTextAndBackground: Text,15,1,0,0,4
StatusBar: Bar Min,16,0,0,0,2
StatusBar: Bar Max,17,0,0,100,2
StatusBar: Bar Value,18,0,0,0,2
StatusBar: Text,19,1,0,0,2
DoubleIconAndText: Label,20,1,0,0,5
DoubleIconAndText: Left Text,21,1,0,0,5
DoubleIconAndText: Left Tooltip,22,1,0,0,5
DoubleIconAndText: Right Text,23,1,0,0,5
DoubleIconAndText: Right Tooltip,24,1,0,0,5
StackedResourceTracker: Text 1,25,1,0,0,6
StackedResourceTracker: Tooltip 1,26,1,0,0,6
StackedResourceTracker: Text 2,27,1,0,0,6
StackedResourceTracker: Tooltip 2,28,1,0,0,6
StackedResourceTracker: Text 3,29,1,0,0,6
StackedResourceTracker: Tooltip 3,30,1,0,0,6
StackedResourceTracker: Text 4,31,1,0,0,6
StackedResourceTracker: Tooltip 4,32,1,0,0,6
IconTextAndCurrencies: Text,33,1,0,0,7
IconTextAndCurrencies: Currency ID 1,34,0,0,0,7
IconTextAndCurrencies: Currency Text 1,35,1,0,0,7
IconTextAndCurrencies: Currency Tooltip 1,36,1,0,0,7
IconTextAndCurrencies: Currency ID 2,37,0,0,0,7
IconTextAndCurrencies: Currency Text 2,38,1,0,0,7
IconTextAndCurrencies: Currency Tooltip 2,39,1,0,0,7
IconTextAndCurrencies: Currency ID 3,40,0,0,0,7
IconTextAndCurrencies: Currency Text 3,41,1,0,0,7
IconTextAndCurrencies: Currency Tooltip 3,42,1,0,0,7
IconTextAndCurrencies: Shown State Value,45,0,903,1,7
IconTextAndCurrencies: Description,46,1,0,0,7
IconTextAndCurrencies: Enabled State Value,51,0,905,1,7
TextWithState: Text,52,1,0,0,8
TextWithState: Shown State Value,53,0,903,1,8
TextWithState: Text Color,54,0,905,1,8
HorizontalCurrencies: Currency ID 1,55,0,0,0,9
HorizontalCurrencies: Currency Text 1,56,1,0,0,9
HorizontalCurrencies: Currency Tooltip 1,57,1,0,0,9
HorizontalCurrencies: Currency ID 2,58,0,0,0,9
HorizontalCurrencies: Currency Text 2,59,1,0,0,9
HorizontalCurrencies: Currency Tooltip 2,60,1,0,0,9
HorizontalCurrencies: Currency ID 3,61,0,0,0,9
