ID,Description,Priority,Field_1_14_1_40487_002
1,Quest Accept/Beckon/Complete (13),13,1
2,Greeting Kit (29),29,1
3,Dungeon/Raid Boss VO (7),7,0
4,Default (23),23,0
5,Movie mp3 (2),2,0
6,Real-time Cutscene VO (2),2,0
7,One time story moment (9),9,0
8,Quest/Gameplay Guidance (11),11,0
10,Repeatable Story/RP (Stay awhile and Listen) (15),15,0
11,World boss VO (17),17,0
12,Zone announcement VO (19),19,0
13,Talking heads (21),21,0
14,Ambient Dialogue (25),25,0
15,Generic Creatures' Aggro/Death lines (27),27,1
16,Toy Dialogue (29),29,0
18,Other Player's Emotes (30),30,0
23,Text to Speech (3),3,0
26,Ping VO,23,0
