ID,BaseDir[0],BaseDir[1],BaseDir[2],VarianceDir[0],VarianceDir[1],VarianceDir[2],MaxStepDir[0],MaxStepDir[1],MaxStepDir[2],BaseMag,VarianceMagOver,VarianceMagUnder,MaxStepMag,Frequency,Duration,Flags
1,0,1,0,0.1,0.25,0.05,0.05,0.05,0.05,5,6,5,1,0,0,0
6,0,-1,0,0.1,0.25,0.05,0.05,0.05,0.05,5,6,5,1,0,0,0
11,-1,10,0,6,9.5,0.5,0.25,0.5,0.025,5,1.5,3.5,0.5,0,0,0
12,-1,10,0,6,9.5,0.5,0.25,0.5,0.025,2,1,1.8,0.3,0,0,0
13,-1,10,0,6,9.5,0.5,0.25,0.5,0.025,8,4,6,0.5,0,0,0
14,10,0,0,9.5,6,0.5,0.5,0.3,0.025,9,5,6,0.5,0,0,0
17,-1,10,0,6,9.5,0.5,0.25,0.5,0.025,1.5,1,1.5,0.2,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,-1,10,0,6,9.5,0.5,0.25,0.5,0.025,2.5,1.5,2,0.3,0,0,32
23,-10,10,0,9.5,9.5,0.5,0.5,0.5,0.025,8,4,6,0.5,0,0,0
124,13.5,10,5.5,2,2,0,0.2,0.2,0.025,20,4,6,0.2,0,0,0
126,-10,-10,0,6,6,0.5,0.5,0.5,0.025,5,1.5,3.5,0.5,0,0,0
129,10,0,0,9.5,6,0.5,0.5,0.3,0.025,14,5,6,0.5,0,0,0
130,-1,1,0,6,9.5,0.5,0.25,0.5,0.025,20,4,6,0.5,0,1,0
