ID,Field_10_0_2_46144_000[0],Field_10_0_2_46144_000[1],TextureID,Field_10_0_2_46144_002,Field_10_0_2_46144_003
53,-2,-1,132832,1000,0.9
54,-0.8641975,-0.43209875,132832,1000,0.6728395
55,0,0,132832,1000,0.5
56,1,2,132832,1000,0.5
57,0.08029199,1.080292,132832,1000,0.62262774
98,0,0,0,1000,0
99,1,1,571575,5,15
100,10,10,4993332,4096,1
258,0,0,0,1000,1
260,0,0,0,1000,0.3
263,0,0,4993332,500,2
267,0,0,4993332,500,2
272,1,1,4993332,2000,0
273,1,1,4993332,2000,0
276,1,1,4993332,2000,0
278,1,1,4993332,400,3
280,1,1,4993332,800,0.5
282,1,1,4993332,800,0.5
284,1,1,4993332,400,0
289,1,1,4993332,2000,0
290,1,1,4993332,400,1
291,1,1,4993332,400,1
292,1,1,4993332,400,1
293,1,1,4993332,400,3
294,1,1,4993332,400,3
295,1,1,4993332,400,1
296,1,1,4993332,400,1
297,1,1,4993332,400,1
306,1,1,4993332,400,1
314,1,1,4993332,400,1
319,1,1,4993332,400,1
346,1,1,4993332,400,1
347,1,1,4993332,400,1
348,1,1,4993332,400,1
349,1,1,4993332,400,1
350,1,1,4993332,400,1
351,1,1,4993332,400,1
352,1,1,4993332,400,1
353,1,1,4993332,1000,1
354,1,1,4993332,1000,1
355,1,1,4993332,1000,1
356,1,1,4993332,1000,1
358,1,1,4993332,2000,0
395,1,1,4993332,400,1
397,1,1,4993332,400,1
398,1,1,4993332,800,0.5
400,1,1,4993332,800,0.5
401,1,1,4993332,400,1
402,1,1,4993332,400,1
428,1,1,4993332,400,1
429,1,1,4993332,400,1
430,1,1,4993332,400,1
431,1,1,4993332,800,0.5
432,1,1,4993332,800,0.5
433,1,1,4993332,800,0.5
434,1,1,4993332,400,1
435,1,1,4993332,400,1
457,1,1,4993332,400,1
466,1,1,4993332,2000,0
468,1,1,4993332,1000,0.75
469,1,1,4993332,1000,0.5
484,2,2,4993332,400,1
491,2,2,4993332,400,1
509,1,1,4993332,400,1
512,1,1,4993332,400,0
525,2,2,4993332,400,1
529,1,1,4993332,400,0
531,1,1,4993332,400,1
539,1,1,4993332,400,1
540,1,1,4993332,400,1
541,1,1,4993332,400,1
542,1,1,4993332,400,1
543,1,1,4993332,400,1
544,1,1,4993332,400,1
545,1,1,4993332,400,1
546,1,1,4993332,400,1
547,1,1,4993332,400,1
548,1,1,4993332,400,1
549,1,1,4993332,400,0.8604651
550,1,1,4993332,800,0.5
551,1,1,4993332,800,0.5
552,1,1,4993332,800,0.5
553,1,1,4993332,400,1
554,1,1,4993332,400,1
555,1,1,4993332,400,1
556,1,1,4993332,400,0
557,1,1,4993332,400,0
558,1,1,4993332,400,1
559,1,1,4993332,400,1
560,1,1,4993332,400,1
561,1,1,4993332,400,1
562,1,1,4993332,400,1
563,1,1,4993332,400,1
564,1,1,4993332,400,1
565,1,1,4993332,400,0
566,1,1,4993332,400,0
567,1,1,4993332,400,0
568,1,1,4993332,400,0
569,1,1,4993332,400,1
570,2,2,4993332,400,1
