ID,Name,MapID,LightID,Flags,Zmin,Zmax,Field_5_5_0_60481_006,Field_2_5_2_39570_004
60,BoreanTundra,571,914,0,-64000,64000,0,0
61,DragonBlight,571,825,0,-64000,64000,0,0
62,GrizzlyHills,571,959,0,-64000,64000,0,0
63,HowlingFjord,571,862,0,-64000,64000,0,0
64,HowlingGrizzly,571,1847,0,-64000,64000,0,0
65,Icecrown,571,1703,0,-64000,64000,0,0
66,Sholazar,571,1796,0,-64000,64000,0,0
67,StormPeaks,571,1777,0,-64000,64000,0,0
68,Wintergrasp,571,1792,0,-64000,64000,0,0
69,ZulDrak,571,1589,0,-64000,64000,0,0
70,CrystalSong,571,1740,0,-64000,64000,0,0
139,Durotar,1,204,0,-64000,64000,0,0
140,Durotar Org,1,239,0,-64000,64000,0,0
141,Azshara main,1,247,0,-64000,64000,0,0
142,Ashenvale,1,208,0,-64000,64000,0,0
145,PlagueLandsWest,0,2546,0,-64000,64000,0,0
146,PlagueLandsWest Lake,0,31,0,-64000,64000,0,0
147,Uldum,1,2515,0,-64000,64000,0,0
153,Barrens Main,1,193,0,-64000,64000,0,0
154,Barrens Green Water,1,206,0,-64000,64000,0,0
155,Twilight Highlands Main,0,2506,0,-64000,64000,0,0
156,Hyjal Main,1,1972,0,-64000,64000,0,0
157,Glineas Main,0,1866,0,-64000,64000,0,0
158,Silver Pine Main,0,28,0,-64000,64000,0,0
159,Mullgore Main,1,202,0,-64000,64000,0,0
162,Alterac Main,0,13,0,-64000,64000,0,0
187,Shadow Moon Main,530,519,0,-64000,64000,0,0
236,Loch Modan,0,26,0,-64000,64000,0,0
237,Twilight Hammer Main Camp,0,2595,0,-64000,64000,0,0
282,Moonglade,1,196,0,-64000,64000,0,0
283,Winterspring,1,259,0,-64000,64000,0,0
292,Wetlands,0,58,0,-64000,64000,0,0
293,Feralas Main,1,217,0,-64000,64000,0,0
294,Silithus,1,249,0,-64000,64000,0,0
295,Duskwallow,1,198,0,-64000,64000,0,0
299,Badlands,0,21,0,-64000,64000,0,0
300,ThousandNeedles,1,230,0,-64000,64000,0,0
308,Arathi Highlands,0,12,0,-64000,64000,0,0
323,Twilight Obsidian Forest,0,2543,0,-64000,64000,0,0
375,FireLands_Main_Raid,720,3254,0,-64000,64000,0,0
376,FireLands_Hex,720,3249,0,-64000,64000,0,0
377,FireLands_Lava_Raid,720,3260,0,-64000,64000,0,0
399,Island,930,356,0,-64000,64000,0,0
439,Valley Four Winds Jungle,870,3383,0,-64000,64000,0,0
441,Kun Lai Summit - Main,870,3387,0,-64000,64000,0,0
443,Jade Forest Main,870,3402,0,-64000,64000,0,0
450,Valley of Four Winds Farmland,870,3467,0,-64000,64000,0,0
461,Twilight Realm Dragon Soul Main,940,3500,0,-64000,64000,0,0
462,Twilight Realm Fog 2,967,3499,0,-64000,64000,0,0
463,Twilight Realm Main 2,967,3478,0,-64000,64000,0,0
464,Turtle Main,860,3525,0,-64000,64000,0,0
465,Turtle Top Head,860,3524,0,-64000,64000,0,0
476,Vale of Eternal Blossoms,870,3592,0,-64000,64000,0,0
520,Mantid Zone North,870,3620,0,-64000,64000,0,0
521,Kun Lai Summit Upper Valley,870,3584,0,-64000,64000,0,0
523,V4W Southern Coast Beach Light,870,3613,0,-64000,64000,0,0
571,Mantid Zone South,870,3694,0,-64000,64000,0,0
581,Vale of Eternal Blossoms West,870,3752,0,-64000,64000,0,0
595,Kun Lai Mountains,870,3472,0,-64000,64000,0,0
602,North island,870,3620,0,-64000,64000,0,0
641,Zangarmarsh Main,530,460,0,-64000,64000,0,0
642,Hellfire Main,530,377,0,-64000,64000,0,0
643,Blades Edge Main,530,455,0,-64000,64000,0,0
644,Nagrand Main,530,539,0,-64000,64000,0,0
645,Terokkar Main,530,458,0,-64000,64000,0,0
646,Netherstorm Main,530,502,0,-64000,64000,0,0
690,Isle of the Thunder King Dark Raid,1064,4155,0,-64000,64000,0,0
692,Mantid Klaxxi Island Scenario Zone Light,1050,3948,0,-64000,64000,0,0
695,Lion's Landing Scenario Zone Light,1103,4231,0,-64000,64000,0,0
711,Isle of the Thunder King Dark Raid,1122,4155,0,-64000,64000,0,0
712,Isle of the Thunder King Dark Raid,1123,4155,0,-64000,64000,0,0
713,Isle of the Thunder King Dark Raid,1124,4155,0,-64000,64000,0,0
714,Isle of the Thunder King Dark Raid,1125,4155,0,-64000,64000,0,0
715,Isle of the Thunder King Dark Raid,1126,4155,0,-64000,64000,0,0
716,Isle of the Thunder King Dark Raid,1127,4155,0,-64000,64000,0,0
876,Vale Excavation,1144,3592,0,-64000,64000,0,0
877,Sea Battle Scenario,1099,4727,0,-64000,64000,0,0
878,Dun Murogh Scenario,1130,16,0,-64000,64000,0,0
898,Orgrimmar Raid,1136,2859,0,-64000,64000,0,0
923,Sunset Isle Fog,1161,4788,0,-64000,64000,0,0
