ID,Pos[0],Pos[1],PointOrder,ZoneLightID
300,4215.8745,3269.2654,1,60
301,4271.2856,4197.404,2,60
302,4363.6377,4262.0503,3,60
303,4585.2827,4264.3594,4,60
304,4562.195,4617.606,5,60
305,4522.945,4633.767,6,60
306,4520.636,4675.3257,7,60
307,4562.195,4709.958,8,60
308,4566.8125,4936.2207,9,60
309,4622.2236,4940.838,10,60
310,4631.4585,5499.568,11,60
311,4728.428,5679.655,12,60
312,4728.428,5956.711,13,60
313,4682.2524,6012.1226,14,60
314,4673.017,6487.7354,15,60
315,6081.386,8990.478,16,60
316,3043.0032,9590.766,17,60
317,826.553,8247.044,18,60
318,133.91203,5448.7744,19,60
319,957.13934,3272.8423,20,60
320,2381.532,3242.556,21,60
321,3117.2805,3195.2437,22,60
322,3292.065,3263.7822,23,60
323,3610.3906,3122.0793,24,60
324,3746.033,3111.1125,25,60
325,3812.3872,3198.468,26,60
326,4098.686,3195.5237,27,60
327,4834.6333,-960.45996,1,61
328,4848.486,-434.053,2,61
329,5019.3374,-219.33469,3,61
330,5190.189,78.50095,4,61
331,5208.659,459.45325,5,61
332,5074.7485,540.2612,6,61
333,5074.7485,761.90625,7,61
334,5146.3213,932.7575,8,61
335,5365.6577,1080.5212,9,61
336,5356.4224,1165.9469,10,61
337,5240.983,1239.8285,11,61
338,5139.395,1477.6348,12,61
339,5044.7344,1500.7231,13,61
340,4929.294,1634.6335,14,61
341,4832.324,1650.795,15,61
342,4832.3247,1789.3234,16,61
343,4608.3706,1796.2498,17,61
344,4548.3423,1731.6031,18,61
345,4271.2856,1731.6031,19,61
346,4206.639,1791.6321,20,61
347,4174.316,2036.365,21,61
348,4229.727,2045.6002,22,61
349,4262.0503,2156.4226,23,61
350,4262.0503,2299.5684,24,61
351,4105.052,2451.9495,25,61
352,4100.434,2590.4778,26,61
353,4042.714,2606.6394,27,61
354,4049.6406,2897.5483,28,61
355,4068.111,3089.179,29,61
356,4091.1987,3200.0012,30,61
357,3812.9883,3198.847,31,61
358,3745.4563,3108.2263,32,61
359,3606.3508,3119.1934,33,61
360,3414.1426,3210.968,34,61
361,3293.508,3261.1843,35,61
362,3117.4617,3195.961,36,61
363,2406.957,3244.3606,37,61
364,940.5113,3269.1296,38,61
365,476.29465,-986.3326,39,61
366,1716.3649,-1584.8605,40,61
367,2872.1516,-1602.3069,41,61
368,3225.7146,-1619.9852,42,61
369,3372.7258,-1660.4232,43,61
370,3923.2048,-1606.8285,44,61
371,4049.6406,-1505.3372,45,61
372,4192.786,-1505.3372,46,61
373,4345.1675,-1597.6892,47,61
374,4421.7534,-1574.9294,48,61
375,4548.11,-1724.7415,49,61
376,4678.0645,-1847.436,50,61
377,4702.6694,-1648.8792,51,61
378,4771.141,-1614.8695,52,61
379,4685.922,-1470.3026,53,61
380,4656.9463,-1371.2742,54,61
381,4735.4956,-1338.3789,55,61
382,4861.4507,-1446.1967,56,61
383,5033.1904,-1389.8972,57,61
384,5037.808,-1098.9883,58,61
385,5527.274,-4825.3945,1,62
386,5531.8916,-4636.0728,2,62
387,5458.01,-4580.6616,3,62
388,5236.3647,-4571.427,4,62
389,5144.0127,-4432.8984,5,62
390,5139.955,-4276.228,6,62
391,5021.81,-4171.1436,7,62
392,4992.424,-3826.736,8,62
393,4937.7256,-3748.717,9,62
394,4839.771,-3736.313,10,62
395,4522.069,-3219.4927,11,62
396,4460.031,-3191.5552,12,62
397,4444.3613,-2930.112,13,62
398,4435.9185,-2718.302,14,62
399,4468.4736,-2511.5742,15,62
400,4543.0117,-2484.445,16,62
401,4575.063,-2381.041,17,62
402,4664.9297,-2372.8591,18,62
403,4674.602,-1843.2145,19,62
404,4551.375,-1732.6241,20,62
405,4421.7534,-1567.0469,21,62
406,4345.1675,-1597.6892,22,62
407,4192.786,-1500.7196,23,62
408,4045.023,-1505.3372,24,62
409,3919.9397,-1600.2982,25,62
410,3367.5476,-1663.6885,26,62
411,3229.54,-1623.2502,27,62
412,1697.3512,-1584.9965,28,62
413,1701.7198,-1585.5005,29,62
414,2599.713,-2548.9158,30,62
415,2710.5352,-2950.6477,31,62
416,2899.8572,-2973.7354,32,62
417,2996.8267,-3010.6765,33,62
418,3003.7532,-3123.8074,34,62
419,3202.3103,-3165.3665,35,62
420,3273.883,-3272.7258,36,62
421,3428.5728,-3383.5476,37,62
422,3580.0676,-3449.0947,38,62
423,3684.053,-3584.144,39,62
424,3640.2747,-3711.1128,40,62
425,3660.0774,-3963.894,41,62
426,3656.7917,-4157.8022,42,62
427,3605.0212,-4281.2915,43,62
428,3519.7734,-4377.0747,44,62
429,3500.3264,-4520.1885,45,62
430,3551.298,-4688.6997,46,62
431,3654.2175,-4804.1084,47,62
432,3704.1245,-5003.5654,48,62
433,3762.1128,-5121.061,49,62
434,3677.1914,-5387.9727,50,62
435,3561.619,-5672.426,51,62
436,3085.2837,-6049.5933,52,62
437,3086.7063,-7032.8896,53,62
438,5914.53,-6072.758,54,62
439,3082.7766,-6049.62,1,63
440,2701.5024,-6230.0786,2,63
441,2427.287,-6135.244,3,63
442,2288.2869,-5775.7476,4,63
443,2169.5542,-5596.4067,5,63
444,1972.3219,-5325.8687,6,63
445,1990.9634,-5154.6094,7,63
446,2088.1033,-4989.122,8,63
447,2382.3738,-4807.057,9,63
448,2437.6836,-4664.2427,10,63
449,2411.0308,-4526.0454,11,63
450,2305.8784,-4376.3037,12,63
451,2175.025,-4145.593,13,63
452,2171.1548,-3895.2566,14,63
453,2243.475,-3607.98,15,63
